rebalance_freq,min_holding_months,entry_buffer,exit_buffer,annual_return,annual_vol,sharpe,max_drawdown,annual_turnover,hit_rate,total_return,avg_daily_return,worst_day,best_day
M,0,none,none,0.02478427110538939,0.06808275404778674,0.07027140973221127,-0.08431408011150957,3.194366197183099,0.43309859154929575,0.02797511985992851,0.00010634653624872193,-0.033520226348040354,0.027353532204259706
M,0,0.25,0.35,0.11196935081843362,0.09114568650806935,1.0090367887052047,-0.09040730246077525,3.15,0.43661971830985913,0.12705698025356682,0.00043768133544620335,-0.036969117110561285,0.03807469916544192
M,0,0.3,0.4,0.19945716214497033,0.08853747561575848,2.026906243902773,-0.0755788079165183,2.7950704225352117,0.4753521126760563,0.22748035579271098,0.0007374302695238518,-0.02981987032589728,0.0383334061825483
M,3,none,none,0.02698629472512848,0.06810171154666893,0.10258618420097844,-0.08431408011150934,3.194366197183099,0.43661971830985913,0.030464831985630436,0.00011487028414978048,-0.033520226348040354,0.027353532204259706
M,3,0.25,0.35,0.11122614157406674,0.09244604843144433,0.9868041211271216,-0.09109241925974276,3.15,0.43661971830985913,0.1262080665885228,0.0004355195763261577,-0.040676652223630407,0.03807469916544192
M,3,0.3,0.4,0.1986855274775592,0.08961661586775724,1.9938883626361936,-0.0762489963658883,2.7950704225352117,0.4753521126760563,0.2265904549949742,0.0007352685104038061,-0.0335274054389664,0.0383334061825483
M,6,none,none,0.02698629472512848,0.06810171154666893,0.10258618420097844,-0.08431408011150934,3.194366197183099,0.43661971830985913,0.030464831985630436,0.00011487028414978048,-0.033520226348040354,0.027353532204259706
M,6,0.25,0.35,0.11122614157406674,0.09244604843144433,0.9868041211271216,-0.09109241925974276,3.15,0.43661971830985913,0.1262080665885228,0.0004355195763261577,-0.040676652223630407,0.03807469916544192
M,6,0.3,0.4,0.1986855274775592,0.08961661586775724,1.9938883626361936,-0.0762489963658883,2.7950704225352117,0.4753521126760563,0.2265904549949742,0.0007352685104038061,-0.0335274054389664,0.0383334061825483
Q,0,none,none,0.023981322415294937,0.054305507670032074,0.07331341858520157,-0.03570700750489826,6.795505617977529,0.449438202247191,0.008404756273080016,9.984668575874424e-05,-0.013241623002079084,0.006965091982866367
Q,0,0.25,0.35,0.19464660306364756,0.061478100200037245,2.84079375412355,-0.02039725207522547,7.644943820224719,0.449438202247191,0.06482689780669126,0.000713417520755706,-0.011256091478752773,0.009371137316583013
Q,0,0.3,0.4,0.2859474046041435,0.06606569321291227,4.025499342708254,-0.018708575620687055,6.512359550561797,0.48314606741573035,0.09288599973411293,0.0010070642472228793,-0.01536874024532796,0.009521137316583014
Q,3,none,none,0.023981322415294937,0.054305507670032074,0.07331341858520157,-0.03570700750489826,6.795505617977529,0.449438202247191,0.008404756273080016,9.984668575874424e-05,-0.013241623002079084,0.006965091982866367
Q,3,0.25,0.35,0.1977274769886599,0.061259163479023486,2.9012390456411925,-0.02039725207522532,7.644943820224719,0.449438202247191,0.06579593643893822,0.0007235923617454014,-0.011256091478752773,0.009421137316583013
Q,3,0.3,0.4,0.2945619047180983,0.06575987097526559,4.175219638453516,-0.01766740631521361,6.512359550561797,0.48314606741573035,0.09546607707329136,0.0010335063243490246,-0.01536874024532796,0.009521137316583014
Q,6,none,none,0.023981322415294937,0.054305507670032074,0.07331341858520157,-0.03570700750489826,6.795505617977529,0.449438202247191,0.008404756273080016,9.984668575874424e-05,-0.013241623002079084,0.006965091982866367
Q,6,0.25,0.35,0.1977274769886599,0.061259163479023486,2.9012390456411925,-0.02039725207522532,7.644943820224719,0.449438202247191,0.06579593643893822,0.0007235923617454014,-0.011256091478752773,0.009421137316583013
Q,6,0.3,0.4,0.2945619047180983,0.06575987097526559,4.175219638453516,-0.01766740631521361,6.512359550561797,0.48314606741573035,0.09546607707329136,0.0010335063243490246,-0.01536874024532796,0.009521137316583014
